,Symptoms,Conditions
688,"['cough', 'fatigue']","[('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Common Cold', 'Fair match')]"
689,"['cough', 'generalized fatigue']","[('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Common Cold', 'Fair match')]"
690,"['cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
691,"['dry cough', 'fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
692,"['dry cough', 'generalized fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
693,"['dry cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Sarcoidosis', 'Fair match')]"
694,"['cough, nonproductive', 'fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
695,"['cough, nonproductive', 'generalized fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
696,"['cough, nonproductive', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Sarcoidosis', 'Fair match')]"
697,"['hacking cough', 'fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bronchitis', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match')]"
698,"['hacking cough', 'generalized fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bronchitis', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match')]"
699,"['hacking cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match')]"
700,"['coughing attacks', 'fatigue']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
701,"['coughing attacks', 'generalized fatigue']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
702,"['coughing attacks', 'nystagmus, fatigue']","[('Whooping Cough', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
703,"['wet cough', 'fatigue']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
704,"['wet cough', 'generalized fatigue']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
705,"['wet cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match')]"
706,"['forceful cough', 'fatigue']","[('Whooping Cough', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
707,"['forceful cough', 'generalized fatigue']","[('Whooping Cough', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
708,"['forceful cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
709,"['barky cough', 'fatigue']","[('Endogenous Depression', 'Low match'), ('Drug Allergy', 'Low match'), ('Anemia, Iron Deficiency', 'Low match'), ('Hypothyroidism (adult)', 'Low match'), ('Congestive Heart Failure', 'Low match')]"
710,"['barky cough', 'generalized fatigue']","[('Endogenous Depression', 'Low match'), ('Drug Allergy', 'Low match'), ('Anemia, Iron Deficiency', 'Low match'), ('Hypothyroidism (adult)', 'Low match'), ('Coronavirus', 'Low match')]"
711,"['barky cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Labyrinthitis', 'Fair match')]"
712,"['morning cough', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
713,"['morning cough', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
714,"['morning cough', 'nystagmus, fatigue']","[('Bronchitis', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
715,"['non-productive cough', 'generalized fatigue']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
716,"['non-productive cough', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
717,"['cough out mucus', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
718,"['cough out mucus', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
719,"['cough out mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match')]"
720,"['coughing up phlegm', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
721,"['coughing up phlegm', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
722,"['coughing up phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Coronavirus', 'Fair match')]"
723,"['cough with drinking', 'fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
724,"['cough with drinking', 'generalized fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
725,"['cough with drinking', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Aspiration Pneumonia', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
726,"['cough with eating', 'fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
727,"['cough with eating', 'generalized fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
728,"['cough with eating', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Aspiration Pneumonia', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
729,"['cough with swallowing', 'fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
730,"['cough with swallowing', 'generalized fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
731,"['cough with swallowing', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Aspiration Pneumonia', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
732,"['vomiting after cough', 'fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
733,"['vomiting after cough', 'generalized fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
734,"['vomiting after cough', 'nystagmus, fatigue']","[('Whooping Cough', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Labyrinthitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match')]"
735,"['coughing up blood', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (small Cell)', 'Fair match'), ('Bronchitis', 'Fair match')]"
736,"['coughing up blood', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
737,"['coughing up blood', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Pulmonary Embolism', 'Fair match')]"
738,"['coughing at night', 'fatigue']","[('Drug Allergy', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Heartburn/GERD', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
739,"['coughing at night', 'generalized fatigue']","[('Drug Allergy', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Heartburn/GERD', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
740,"['coughing at night', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
741,"['productive cough with phlegm', 'fatigue']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
742,"['productive cough with phlegm', 'generalized fatigue']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
743,"['productive cough with phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match')]"
744,"['cough up pink material', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
745,"['cough up pink material', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
746,"['cough up pink material', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Pulmonary Edema', 'Fair match')]"
747,"['cough up pink gunk', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
748,"['cough up pink gunk', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
749,"['cough up pink gunk', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Pulmonary Edema', 'Fair match')]"
750,"['cough out thick mucus', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
751,"['cough out thick mucus', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
752,"['cough out thick mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
753,"['cough out thick phlegm', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
754,"['cough out thick phlegm', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
755,"['cough out thick phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
756,"['coughing up thick phlegm', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
757,"['coughing up thick phlegm', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
758,"['coughing up thick phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
759,"['cough up thick gunk', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
760,"['cough up thick gunk', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
761,"['cough up thick gunk', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
762,"['cough out white mucus', 'fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
763,"['cough out white mucus', 'generalized fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
764,"['cough out white mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
765,"['coughing up white mucus', 'fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
766,"['coughing up white mucus', 'generalized fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
767,"['coughing up white mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
768,"['cough up yellow gunk', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match')]"
769,"['cough up yellow gunk', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match')]"
770,"['cough up yellow gunk', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match')]"
771,"['cough out yellow mucus', 'fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match')]"
772,"['cough out yellow mucus', 'generalized fatigue']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Coronavirus', 'Fair match')]"
773,"['cough out yellow mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), (""Meniere's Disease"", 'Moderate match')]"
774,"['cough out bubbly mucus', 'fatigue']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
775,"['cough out bubbly mucus', 'generalized fatigue']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
776,"['cough out bubbly mucus', 'nystagmus, fatigue']","[('Pulmonary Edema', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
777,"['cough when I swallow', 'fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
778,"['cough when I swallow', 'generalized fatigue']","[('Aspiration Pneumonia', 'Fair match')]"
779,"['cough when I swallow', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Aspiration Pneumonia', 'Fair match'), ('Labyrinthitis', 'Fair match')]"
780,"['throw up after coughing', 'fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
781,"['throw up after coughing', 'generalized fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
782,"['throw up after coughing', 'nystagmus, fatigue']","[('Whooping Cough', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Labyrinthitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match')]"
783,"['cough up black phlegm', 'fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
784,"['cough up black phlegm', 'generalized fatigue']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
785,"['cough up black phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
786,"['coughing in the morning', 'fatigue']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
787,"['coughing in the morning', 'generalized fatigue']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
788,"['coughing in the morning', 'nystagmus, fatigue']","[('Bronchitis', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
789,"['sudden recurring attacks of coughing', 'fatigue']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
790,"['sudden recurring attacks of coughing', 'generalized fatigue']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
791,"['sudden recurring attacks of coughing', 'nystagmus, fatigue']","[('Whooping Cough', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
792,"['unable to cough up phlegm', 'fatigue']","[('Endogenous Depression', 'Low match'), ('Drug Allergy', 'Low match'), ('Anemia, Iron Deficiency', 'Low match'), ('Hypothyroidism (adult)', 'Low match'), ('Coronavirus', 'Low match')]"
793,"['unable to cough up phlegm', 'generalized fatigue']","[('Endogenous Depression', 'Low match'), ('Drug Allergy', 'Low match'), ('Anemia, Iron Deficiency', 'Low match'), ('Hypothyroidism (adult)', 'Low match'), ('Coronavirus', 'Low match')]"
794,"['unable to cough up phlegm', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Labyrinthitis', 'Fair match')]"
795,"['coughing up bad smelling mucus', 'fatigue']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
796,"['coughing up bad smelling mucus', 'generalized fatigue']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
797,"['coughing up bad smelling mucus', 'nystagmus, fatigue']","[('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), ('Abscess', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
798,"['coughing makes me throw up', 'fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
799,"['coughing makes me throw up', 'generalized fatigue']","[('Whooping Cough', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
800,"['coughing makes me throw up', 'nystagmus, fatigue']","[('Whooping Cough', 'Moderate match'), ('Benign Paroxysmal Positional Vertigo (BPPV)', 'Moderate match'), (""Meniere's Disease"", 'Moderate match'), ('Labyrinthitis', 'Fair match'), ('Viral Gastroenteritis', 'Fair match')]"
801,"['major coughing up of blood', 'fatigue']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
802,"['major coughing up of blood', 'generalized fatigue']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
